               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13071,            0.015376,            0.057805,          0.00013152,           0.0069731,          5.9515e-05,          1.3883e-05,             0.12547,            0.015036,             0.05584,             0.00023,             0.00023,             0.09793
                   1,             0.12429,            0.017283,            0.052486,            0.001327,           0.0014614,          0.00017898,          4.2289e-05,             0.11867,            0.016385,            0.050149,             0.00047,             0.00047,             0.09577
                   2,             0.11929,            0.018787,            0.047625,           0.0094662,            0.008318,           0.0016166,          0.00034973,             0.11207,            0.017381,            0.044383,          0.00070997,          0.00070997,             0.09361
                   3,             0.11089,            0.020685,            0.043116,            0.017742,            0.022802,           0.0063647,           0.0010875,             0.10386,            0.018394,            0.039554,          0.00094992,          0.00094992,             0.09145
                   4,             0.10118,            0.021956,            0.039556,             0.16736,            0.033918,            0.011466,            0.001967,            0.093847,            0.019031,            0.035758,           0.0011898,           0.0011898,             0.08929
                   5,            0.093201,            0.021355,            0.034936,             0.47506,            0.051479,            0.026816,           0.0050951,            0.090137,            0.018783,            0.032806,           0.0014297,           0.0014297,             0.08713
                   6,            0.088332,             0.02215,            0.032919,             0.78038,            0.057391,            0.040449,           0.0084344,             0.08268,            0.017979,            0.030894,           0.0016695,           0.0016695,            0.084969
                   7,            0.087414,            0.021045,            0.028472,             0.91491,            0.052018,            0.050094,            0.011183,            0.081835,            0.017909,            0.030017,           0.0019092,           0.0019092,            0.082809
                   8,            0.084605,            0.020571,             0.03148,             0.80747,             0.07233,            0.066438,             0.01691,            0.078054,            0.017949,            0.028923,           0.0021488,           0.0021488,            0.080649
                   9,            0.080991,            0.020361,            0.025984,             0.79273,            0.072557,            0.051197,            0.012097,            0.081315,            0.016916,            0.027996,           0.0023883,           0.0023883,            0.078488
                  10,             0.08164,            0.020616,            0.028342,             0.80744,            0.083566,            0.066762,            0.016146,            0.080148,            0.017419,            0.027583,           0.0026277,           0.0026277,            0.076328
                  11,            0.077137,            0.020495,            0.027348,             0.78167,             0.12857,            0.075976,            0.018922,            0.077212,            0.017125,            0.026702,           0.0028669,           0.0028669,            0.074167
                  12,            0.076121,            0.021654,             0.02616,             0.78099,             0.12981,            0.080399,            0.023102,            0.070229,             0.01731,            0.026182,            0.003106,            0.003106,            0.072006
                  13,             0.07587,              0.0194,            0.024947,             0.79674,             0.13082,            0.095658,            0.026085,            0.072168,            0.016905,            0.025541,            0.003345,            0.003345,            0.069845
                  14,             0.07465,            0.020402,            0.025456,             0.80263,             0.13632,             0.11158,            0.033748,            0.068677,            0.016925,            0.025075,           0.0035838,           0.0035838,            0.067684
                  15,            0.074899,            0.019482,            0.023462,              0.7851,             0.12608,            0.082667,            0.022243,            0.069232,            0.016416,            0.024297,           0.0038224,           0.0038224,            0.065522
                  16,             0.07468,             0.01961,            0.022447,             0.28693,             0.21412,             0.11702,             0.03383,            0.070333,            0.016638,            0.023719,           0.0040608,           0.0040608,            0.063361
                  17,            0.073038,            0.018616,            0.025584,             0.27577,             0.20168,             0.12125,            0.038484,             0.06513,            0.017175,             0.02401,           0.0042989,           0.0042989,            0.061199
                  18,            0.073618,            0.019549,            0.024157,             0.67961,              0.1661,             0.11902,            0.035313,            0.066685,            0.016535,            0.022464,           0.0045369,           0.0045369,            0.059037
                  19,            0.071551,             0.01935,            0.023146,             0.24759,              0.2756,             0.11653,            0.028327,            0.068739,            0.016187,            0.021413,           0.0047747,           0.0047747,            0.056875
                  20,            0.068504,            0.018869,             0.02062,             0.61063,              0.1887,             0.15422,            0.047532,            0.063359,            0.016025,            0.020182,           0.0050122,           0.0050122,            0.054712
                  21,            0.078527,            0.018573,            0.021875,               0.567,             0.19145,               0.134,            0.038803,            0.066925,            0.015943,            0.019621,           0.0052494,           0.0052494,            0.052549
                  22,            0.072294,            0.019165,            0.020999,             0.46964,             0.20355,             0.16229,            0.049496,            0.063849,            0.015888,            0.019213,           0.0054863,           0.0054863,            0.050386
                  23,            0.072492,            0.019312,            0.020549,             0.51448,             0.21117,              0.1904,            0.067269,            0.062942,            0.016045,            0.018413,            0.005723,            0.005723,            0.048223
                  24,            0.071036,            0.018847,            0.020642,             0.45631,             0.21531,             0.15645,             0.04851,            0.065171,            0.015714,            0.018492,           0.0059594,           0.0059594,            0.046059
