               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13071,             0.01543,            0.057849,          0.00015502,           0.0040502,          6.1801e-05,          1.3766e-05,              0.1254,            0.015175,            0.055732,             0.00023,             0.00023,             0.09793
                   1,             0.12515,              0.0172,            0.052581,          0.00077083,           0.0055117,          0.00018249,          3.8786e-05,             0.11919,            0.016629,                0.05,             0.00047,             0.00047,             0.09577
                   2,             0.11921,            0.018755,            0.047952,           0.0070434,            0.010793,           0.0012494,          0.00023497,             0.11288,            0.017245,            0.044338,          0.00070997,          0.00070997,             0.09361
                   3,             0.11057,            0.020339,            0.043036,             0.15892,            0.023252,           0.0061872,           0.0011279,             0.10356,            0.018225,            0.039721,          0.00094992,          0.00094992,             0.09145
                   4,             0.10044,            0.021796,            0.039541,            0.022351,            0.045294,            0.011919,           0.0021354,            0.092809,            0.019284,            0.036762,           0.0011898,           0.0011898,             0.08929
                   5,            0.097052,            0.021076,            0.035365,              0.4691,              0.0582,            0.026272,           0.0051593,            0.090869,            0.018475,            0.034566,           0.0014297,           0.0014297,             0.08713
                   6,             0.08854,            0.022103,            0.033398,             0.75964,            0.055593,            0.038504,           0.0078769,             0.08344,            0.018047,            0.031205,           0.0016695,           0.0016695,            0.084969
                   7,            0.087676,            0.020993,            0.028575,             0.81949,            0.067498,            0.053693,            0.012914,            0.079233,            0.018172,            0.029968,           0.0019092,           0.0019092,            0.082809
                   8,            0.083913,            0.020585,            0.031639,             0.79559,            0.062782,            0.061761,            0.014655,            0.080533,            0.017837,            0.028861,           0.0021488,           0.0021488,            0.080649
                   9,            0.080475,            0.020401,            0.025724,             0.79361,            0.086343,            0.058246,            0.014336,            0.077385,            0.017611,            0.028103,           0.0023883,           0.0023883,            0.078488
